customer_id,customer_type,account_age_months,credit_score,monthly_income,savings_ratio,avg_balance
1,Professional,9,572,235644.3334159519,0.3690265217956766,838827.8435692779
2,Saver,100,490,133121.28442116058,0.4664023987027391,1203922.1501132506
3,Frequent Traveler,70,834,456358.918026794,0.26615675639634734,3762773.266155629
4,Student,24,539,51219.45377273471,0.09661081968169132,499889.8378590567
5,Professional,98,875,298705.41987610585,0.3435918876553232,1501892.1911457216
6,Professional,65,644,292166.868579438,0.4656227005859947,2527259.7984884395
7,Professional,145,472,222692.26855294692,0.32658322964097464,1307568.7936837052
8,Saver,100,718,193215.19858096202,0.4495832390470876,352753.2155786522
9,Student,165,663,67521.15361696291,0.038601745107538624,135707.02281602824
10,Frequent Traveler,50,672,353351.34762001137,0.14563350033871708,566295.0753593524
11,Professional,173,766,315122.72017071553,0.23349578803504697,2372658.063711021
12,Saver,20,777,128788.44440708068,0.5128377041425979,1172949.1549752676
13,Saver,59,863,131674.67360947427,0.6701379072799994,1281224.2687129837
14,Professional,59,623,128743.16928784897,0.21950692300907707,909219.6245767368
15,Professional,90,535,310727.3919433171,0.3854268314037034,1447526.8126589998
16,Professional,139,748,235204.3625753301,0.4948516646575411,924787.9270702165
17,Professional,84,464,229687.73824642051,0.3133971352047807,1154196.1596078598
18,SME Owner,65,479,424476.9853664549,0.1987045033041112,2259356.79793672
19,SME Owner,77,893,636954.2682445743,0.17555881370639997,5418755.3021300975
20,Professional,58,857,240920.99808877235,0.3885877350681295,2356399.6255629594
21,Student,100,562,44149.77292751695,0.05612754648329897,306743.8818837883
22,Professional,123,576,231618.69186139177,0.3464494229578913,1481993.7770189368
23,Professional,44,474,291039.49259268586,0.3499803588046752,465123.9670553532
24,Professional,142,758,129388.91243668424,0.3754013084983022,1221468.008479669
25,SME Owner,125,891,399220.8831945257,0.307734336964465,1542110.2461611943
26,Frequent Traveler,52,451,428462.82024197245,0.11296755143355007,4027310.514361313
27,Professional,162,514,252396.1942720676,0.45623659271800926,1305639.6696597636
28,SME Owner,122,789,452406.3142092925,0.32497614043930306,2801528.6753314645
29,Student,155,878,52236.49503479743,0.03938647461045186,444604.2704081498
30,Professional,12,621,289568.3868596019,0.42808593514949234,1508371.1756833992
31,Student,38,603,39969.808067199185,0.025391528477072135,146689.18974424485
32,Professional,90,841,204388.49204494143,0.22319752109717295,543164.23120604
33,Professional,168,532,219219.29515542166,0.3194770172737887,608313.8489545954
34,Saver,104,608,178442.37695142036,0.6099725402733591,1149895.8054298689
35,Saver,149,784,147787.11880760718,0.6684347069197506,757200.1972262831
36,Saver,160,555,143931.5511522723,0.381247802994086,1202222.5454596009
37,Professional,89,757,299662.67660875944,0.24886238995324653,2218415.748246098
38,Professional,12,707,277255.1122176306,0.2033983397659544,1174739.0784432946
39,High Net Worth,89,899,1287065.3334096032,0.4895093047807147,7558941.23961853
40,SME Owner,154,499,473669.2484050889,0.1056663988543472,2463464.839219618
